low_curve;up_curve
3419.83550125899;21853.5566082134
2739.46806690647;15347.7708456035
2707.30353393507;9477.40980594691
2711.10236678532;8484.24175337273
2598.27037175828;7340.12605424313
2695.64864110406;6583.98921988016
2661.98231131597;6389.1703150654
2476.99862083905;5999.87204776983
2488.32996051383;5445.2659888327
2818.82568655289;5235.63511121587
2883.68865221169;5224.02564308576
2879.7355752616;5097.51878314362
2915.14819390091;5240.57052393407
2821.38498847119;5300.5316364862
2782.44169764235;5531.69311947681
2765.70570002471;5121.33258528602
2820.77724748016;4952.20594166779
2784.96732418291;4793.51693182076
2760.7119864628;4742.7096354978
2708.01569351333;4691.30686673822
2708.61168266041;4568.01185930362
2741.88225396481;4468.99461904878
2691.01654103409;4521.90969941926
2631.46274929172;4422.75419459769
2597.40037113282;4485.24431164374
2544.78844335625;4441.05649505408
2551.45681478604;4427.98504509391
2567.63119842634;4402.50888469065
2512.62028190539;4361.83273623505
2583.32896072737;4275.53904231932
2542.69958436316;4418.72711261692
2599.40303186404;4422.02105446407
2645.74216698765;4360.05557740303
2630.93048919171;4275.11644497724
2640.93051265836;4244.95218091996
2629.27477815317;4178.78101813757
2631.62167658422;4168.63513077215
2662.09606771398;4142.78142462333
2674.6877572319;4122.10476429424
2753.52922900893;4149.68445895238
2740.48231429876;4114.23758027696
2806.37746026596;4125.28573117799
2824.12305926655;4112.33827692876
2800.50286789588;4099.45326732427
2785.95110424054;4090.0106216307
2881.21127821854;4119.47224166348
2869.13236361124;4120.78034027741
2927.60053207876;4048.17221218679
2929.35343836787;4047.19684006252
2970.52688038868;4113.32575561629
2949.53956376553;4066.74718474876
2990.02384154076;4064.2879416689
3006.66531790472;4133.51566126644
2951.55461368037;4184.67203080312
2902.74391165171;4111.61625010688
2904.22099637991;4082.22107594326
2930.20121041439;4030.54563651565
2936.49425296402;4017.17047655543
2953.38831797446;3985.39700807994
2965.36371002891;3975.15283242148
2960.14887462855;4008.41275515741
2919.80979186947;3978.18761790748
2911.29807658429;3950.6331186442
2934.12987528707;3955.37042450771
2942.77598162653;3920.17881059961
2940.04852883185;3909.86953242535
2959.97181364278;3892.98702053807
2992.17980739023;3905.21051964537
3003.98853301778;3863.91035901687
3015.25573638411;3860.40322296976
3018.51809567379;3859.49866936222
3055.86182938192;3823.74202670407
3043.67541015783;3799.47234078708
3068.23090808847;3815.55949255602
3060.87218201078;3817.75185078595
3041.56039240888;3770.35048455288
3052.96042177193;3776.3450656451
3036.75418890697;3761.96854349835
3019.24214718514;3747.27603410652
3022.84291769161;3750.55705129569
3024.66063565408;3761.65699995195
3043.59351644901;3792.07462942399
3035.90927427326;3785.90675803211
3015.46381746792;3791.9980614308
2993.40074439594;3791.67428832904
2976.67847991142;3791.52371119815
2973.28806345397;3784.60620482792
2991.944241502;3780.91539782214
2978.65162796398;3788.70492969695
3009.74850979339;3776.44726650019
3011.44306862448;3760.6549977298
3018.63477690844;3766.30656211019
3027.07656338493;3740.19231970837
3064.31026094573;3741.17975164471
3071.16406847528;3792.34356239594
3066.93588293906;3813.36653096357
3052.92507303455;3814.20251708505
3050.99934153984;3798.21870246553
3065.85865557923;3811.08803854152
3049.72938597041;3777.737155443
3042.08857733357;3736.42258698514
3036.2347809582;3734.55398262988
3052.80112050558;3745.64544552905
3049.08023779267;3767.82658122365
3067.71047001165;3742.3643042605
3076.88464315039;3767.66522074328
3091.86386653833;3719.16593308861
3102.39147719783;3727.73879948573
3097.96482096635;3730.21842941725
3109.76720529121;3711.58403541616
3110.35803554002;3693.48043788481
3104.64121798758;3713.92481452972
3117.02365575577;3705.55740130252
3092.55005847944;3679.48876206463
3079.65615410664;3671.60115802912
3077.23063783583;3636.87756019945
3076.64856891438;3656.25043215479
3085.28247853862;3653.17195691388
3088.46249699155;3669.07868841882
3082.60542848503;3671.13327018718
3105.91248275512;3672.3508638314
3089.86311215199;3695.56776686355
3090.36732925214;3681.38025326052
3095.54448534586;3682.09535836339
3126.115522265;3686.13410315049
3128.13579005978;3667.38536386575
3138.93617570685;3660.5157414684
3137.78846803557;3655.16622238904
3126.01254181126;3667.47119494211
3135.73974603048;3677.72640452321
3142.78331525722;3678.48692436324
3130.51693865863;3667.07615915876
3135.8420663652;3674.86203031303
3135.89706053343;3678.00412081388
3120.23508483597;3670.62582667455
3129.58768528644;3675.82783919888
3147.12382393138;3666.91451473882
3158.90020193972;3653.91088552716
3156.22598788038;3643.77515753202
3149.32928677859;3644.74609472774
3156.74948668853;3645.40575061464
3165.91489183433;3625.91919020688
3160.6818470684;3629.54360871755
3162.72746431906;3632.46413738718
3169.0638247093;3632.89144806146
3149.99840262839;3627.60444947373
3155.55917554296;3620.48726271721
3150.84074194761;3602.82524170838
3169.81539464741;3596.03182544082
3168.38391684908;3588.63454152993
3171.51080524139;3576.35776706309
3171.9522843511;3579.46146804496
3169.57568498958;3567.20737651495
3181.43159593093;3577.05425047984
3179.76281350196;3552.99296683963
3195.72664963007;3547.8959995764
3187.49801384681;3551.34798788214
3184.7117317041;3536.20490695449
3181.50433891726;3534.37863549393
3174.63630474502;3527.75840074307
3180.95250472165;3518.71292750226
3187.30967355251;3533.41077330947
3185.60055088744;3511.74874966355
3178.81267056598;3516.09228224687
3182.86022163906;3512.02371344088
3197.3254651308;3507.92080669515
